Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 260481
Palabra: -did Frec: 2 LogProb: -11.517995921783335
Palabra: -do Frec: 0 LogProb: 0
Palabra: -doors Frec: 0 LogProb: 0
Palabra: -e Frec: 0 LogProb: 0
Palabra: -ed Frec: 0 LogProb: 0
Palabra: -elderly Frec: 0 LogProb: 0
Palabra: -ending Frec: 0 LogProb: 0
Palabra: -even Frec: 0 LogProb: 0
Palabra: -feel Frec: 0 LogProb: 0
Palabra: -financial Frec: 0 LogProb: 0
Palabra: -finished Frec: 0 LogProb: 0
Palabra: -first Frec: 0 LogProb: 0
Palabra: -free Frec: 0 LogProb: 0
Palabra: -fueled Frec: 0 LogProb: 0
Palabra: -gas Frec: 0 LogProb: 0
Palabra: -gdp Frec: 0 LogProb: 0
Palabra: -get Frec: 2 LogProb: -11.517995921783335
Palabra: -gki Frec: 0 LogProb: 0
Palabra: -going Frec: 0 LogProb: 0
Palabra: -gotten Frec: 0 LogProb: 0
Palabra: -governments Frec: 0 LogProb: 0
Palabra: -grocery Frec: 0 LogProb: 0
Palabra: -growth Frec: 0 LogProb: 0
Palabra: -hand Frec: 0 LogProb: 0
Palabra: -health Frec: 0 LogProb: 0
Palabra: -home Frec: 0 LogProb: 0
Palabra: -how Frec: 0 LogProb: 0
Palabra: -however Frec: 0 LogProb: 0
Palabra: -i Frec: 0 LogProb: 0
Palabra: -if Frec: 0 LogProb: 0
Palabra: -in Frec: 0 LogProb: 0
Palabra: -induced Frec: 0 LogProb: 0
Palabra: -industrial Frec: 0 LogProb: 0
Palabra: -is Frec: 0 LogProb: 0
Palabra: -items Frec: 0 LogProb: 0
Palabra: -its Frec: 0 LogProb: 0
Palabra: -keep Frec: 0 LogProb: 0
Palabra: -led Frec: 0 LogProb: 0
Palabra: -less Frec: 0 LogProb: 0
Palabra: -life Frec: 0 LogProb: 0
Palabra: -liquor Frec: 0 LogProb: 0
Palabra: -lock Frec: 0 LogProb: 0
Palabra: -lockdown Frec: 0 LogProb: 0
Palabra: -make Frec: 0 LogProb: 0
Palabra: -maybe Frec: 0 LogProb: 0
Palabra: -me Frec: 0 LogProb: 0
Palabra: -meetings Frec: 0 LogProb: 0
Palabra: -men Frec: 0 LogProb: 0
Palabra: -money Frec: 0 LogProb: 0
Palabra: -more Frec: 0 LogProb: 0
Palabra: -mulder Frec: 0 LogProb: 0
Palabra: -my Frec: 0 LogProb: 0
Palabra: -naps Frec: 0 LogProb: 0
Palabra: -netflix Frec: 0 LogProb: 0
Palabra: -new Frec: 0 LogProb: 0
Palabra: -no Frec: 0 LogProb: 0
Palabra: -not Frec: 0 LogProb: 0
Palabra: -o%bleach Frec: 0 LogProb: 0
Palabra: -oil Frec: 0 LogProb: 0
Palabra: -once Frec: 0 LogProb: 0
Palabra: -online Frec: 0 LogProb: 0
Palabra: -only Frec: 0 LogProb: 0
Palabra: -over Frec: 0 LogProb: 0
Palabra: -panay Frec: 0 LogProb: 0
Palabra: -panic Frec: 0 LogProb: 0
Palabra: -pay Frec: 0 LogProb: 0
Palabra: -paying Frec: 0 LogProb: 0
Palabra: -philippians Frec: 0 LogProb: 0
Palabra: -play Frec: 0 LogProb: 0
Palabra: -pretending Frec: 0 LogProb: 0
Palabra: -price Frec: 0 LogProb: 0
Palabra: -racking Frec: 0 LogProb: 0
Palabra: -random Frec: 0 LogProb: 0
Palabra: -refused Frec: 0 LogProb: 0
Palabra: -return Frec: 0 LogProb: 0
Palabra: -roman Frec: 0 LogProb: 0
Palabra: -sales Frec: 0 LogProb: 0
Palabra: -school Frec: 0 LogProb: 0
Palabra: -see Frec: 0 LogProb: 0
Palabra: -seeing Frec: 0 LogProb: 0
Palabra: -select Frec: 0 LogProb: 0
Palabra: -shopping Frec: 0 LogProb: 0
Palabra: -sincerely Frec: 0 LogProb: 0
Palabra: -sir Frec: 0 LogProb: 0
Palabra: -small Frec: 0 LogProb: 0
Palabra: -snacks Frec: 0 LogProb: 0
Palabra: -so Frec: 0 LogProb: 0
